ID,X1,X2
4,0.019693577,0.050166622
85,0.092123196,0.03251382
24,0.038821823,0.177652995
32,0.042955455,0.326823293
52,0.031051845,0.548272616
55,0.149283993,0.081012125
16,0.103854845,0.676475993
54,0.1003896,0.686029037
83,0.123247077,0.897798883
71,0.161073106,0.059332665
45,0.192963358,0.035662493
92,0.167033731,0.223358745
22,0.191379697,0.258307429
5,0.163301253,0.685917085
34,0.162806603,0.694748089
97,0.228748442,0.017616604
13,0.213740909,0.206947203
84,0.204106311,0.241041357
30,0.200640321,0.661886712
28,0.166586964,0.911101823
