ID,X1,X2,X3
55,0.149283993,0.081012125,0.019352863
85,0.092123196,0.03251382,0.756996154
71,0.161073106,0.059332665,0.199833145
52,0.031051845,0.548272616,0.102903613
92,0.167033731,0.223358745,0.112062332
22,0.191379697,0.258307429,0.190991355
13,0.213740909,0.206947203,0.069689709
84,0.204106311,0.241041357,0.220086197
45,0.192963358,0.035662493,0.449494568
20,0.300347981,0.132013813,0.159295022
76,0.232007534,0.013666966,0.297315753
74,0.272813767,0.437064382,0.158306209
10,0.24130917,0.05544123,0.625957568
97,0.228748442,0.017616604,0.74838252
72,0.313117897,0.212893137,0.490279672
79,0.321552024,0.223475973,0.022270906
86,0.363136544,0.142249041,0.01478904
18,0.375586739,0.284445921,0.376015456
51,0.440558305,0.446935522,0.303783201
99,0.24571443,0.634362196,0.174710397
