ID,X1,X2,X3
55,0.149283993,0.081012125,0.019352863
85,0.092123196,0.03251382,0.756996154
71,0.161073106,0.059332665,0.199833145
76,0.232007534,0.013666966,0.297315753
45,0.192963358,0.035662493,0.449494568
97,0.228748442,0.017616604,0.74838252
10,0.24130917,0.05544123,0.625957568
92,0.167033731,0.223358745,0.112062332
13,0.213740909,0.206947203,0.069689709
20,0.300347981,0.132013813,0.159295022
86,0.363136544,0.142249041,0.01478904
72,0.313117897,0.212893137,0.490279672
22,0.191379697,0.258307429,0.190991355
84,0.204106311,0.241041357,0.220086197
79,0.321552024,0.223475973,0.022270906
29,0.459420199,0.137142238,0.281397505
74,0.272813767,0.437064382,0.158306209
18,0.375586739,0.284445921,0.376015456
80,0.442295744,0.338413913,0.545749205
56,0.29627049,0.278418458,0.77857692
