ID,X1,X2
4,0.019693577,0.050166622
85,0.092123196,0.03251382
45,0.192963358,0.035662493
97,0.228748442,0.017616604
55,0.149283993,0.081012125
71,0.161073106,0.059332665
24,0.038821823,0.177652995
92,0.167033731,0.223358745
13,0.213740909,0.206947203
84,0.204106311,0.241041357
76,0.232007534,0.013666966
10,0.24130917,0.05544123
20,0.300347981,0.132013813
72,0.313117897,0.212893137
86,0.363136544,0.142249041
79,0.321552024,0.223475973
22,0.191379697,0.258307429
32,0.042955455,0.326823293
81,0.249790606,0.278172248
56,0.29627049,0.278418458
